,0
0,"{'net_indi': 'connect_type_0', 'max_psnr': 30.027950286865234, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.228450775146484, 'max_step': 575, 'max_psnr_avg': 30.003021240234375, 'max_avg_step': 1108, 'final_ep': 1192, 'final_psnr': 28.628154754638672, 'final_psnr_avg': 30.07646369934082, 'consume_time': 276.7365155220032}"
1,"{'net_indi': 'connect_type_1', 'max_psnr': 30.103878021240234, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.395402908325195, 'max_step': 513, 'max_psnr_avg': 30.29426383972168, 'max_avg_step': 605, 'final_ep': 766, 'final_psnr': 27.594709396362305, 'final_psnr_avg': 30.000045776367188, 'consume_time': 208.61325788497925}"
2,"{'net_indi': 'connect_type_2', 'max_psnr': 30.127674102783203, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.289011001586914, 'max_step': 2739, 'max_psnr_avg': 30.225379943847656, 'max_avg_step': 1024, 'final_ep': 2999, 'final_psnr': 29.789731979370117, 'final_psnr_avg': 30.242511749267578, 'consume_time': 812.5087575912476}"
3,"{'net_indi': 'connect_type_3', 'max_psnr': 30.085363388061523, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.256393432617188, 'max_step': 1035, 'max_psnr_avg': 30.210918426513672, 'max_avg_step': 1135, 'final_ep': 1473, 'final_psnr': 28.300626754760742, 'final_psnr_avg': 29.80260467529297, 'consume_time': 464.68520998954773}"
4,"{'net_indi': 'connect_type_4', 'max_psnr': 29.994876861572266, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.283052444458008, 'max_step': 514, 'max_psnr_avg': 30.162418365478516, 'max_avg_step': 602, 'final_ep': 703, 'final_psnr': 28.68892478942871, 'final_psnr_avg': 30.12965965270996, 'consume_time': 222.16386103630066}"
5,"{'net_indi': 'connect_type_5', 'max_psnr': 30.036865234375, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.297391891479492, 'max_step': 501, 'max_psnr_avg': 30.120201110839844, 'max_avg_step': 671, 'final_ep': 907, 'final_psnr': 28.378223419189453, 'final_psnr_avg': 29.89109230041504, 'consume_time': 284.34863567352295}"
6,"{'net_indi': 'connect_type_6', 'max_psnr': 29.935039520263672, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.292098999023438, 'max_step': 451, 'max_psnr_avg': 29.894140243530273, 'max_avg_step': 639, 'final_ep': 823, 'final_psnr': 28.230058670043945, 'final_psnr_avg': 29.945247650146484, 'consume_time': 256.90494108200073}"
7,"{'net_indi': 'connect_type_7', 'max_psnr': 30.129108428955078, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.3543643951416, 'max_step': 1376, 'max_psnr_avg': 30.349720001220703, 'max_avg_step': 1388, 'final_ep': 1762, 'final_psnr': 28.119590759277344, 'final_psnr_avg': 29.67353630065918, 'consume_time': 552.7855689525604}"


