,0
0,"{'net_indi': 'scale_0', 'max_psnr': 30.239295959472656, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.40621566772461, 'max_step': 658, 'max_psnr_avg': 30.253158569335938, 'max_avg_step': 819, 'final_ep': 1074, 'final_psnr': 28.270774841308594, 'final_psnr_avg': 30.021535873413086, 'consume_time': 279.8415307998657}"
1,"{'net_indi': 'scale_1', 'max_psnr': 30.192949295043945, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.41497802734375, 'max_step': 325, 'max_psnr_avg': 30.000085830688477, 'max_avg_step': 509, 'final_ep': 638, 'final_psnr': 28.618928909301758, 'final_psnr_avg': 30.22930908203125, 'consume_time': 166.96471905708313}"
2,"{'net_indi': 'scale_2', 'max_psnr': 30.13922882080078, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.414676666259766, 'max_step': 484, 'max_psnr_avg': 30.3785343170166, 'max_avg_step': 551, 'final_ep': 785, 'final_psnr': 27.957969665527344, 'final_psnr_avg': 30.103389739990234, 'consume_time': 204.19133043289185}"
3,"{'net_indi': 'scale_3', 'max_psnr': 29.76371955871582, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.0529842376709, 'max_step': 590, 'max_psnr_avg': 29.855266571044922, 'max_avg_step': 768, 'final_ep': 910, 'final_psnr': 28.36627197265625, 'final_psnr_avg': 29.87259864807129, 'consume_time': 236.76378870010376}"
4,"{'net_indi': 'scale_4', 'max_psnr': 30.24020004272461, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.419578552246094, 'max_step': 465, 'max_psnr_avg': 30.252410888671875, 'max_avg_step': 578, 'final_ep': 757, 'final_psnr': 28.363388061523438, 'final_psnr_avg': 30.0686092376709, 'consume_time': 196.0657501220703}"
5,"{'net_indi': 'scale_5', 'max_psnr': 30.05690574645996, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.28985595703125, 'max_step': 460, 'max_psnr_avg': 29.869901657104492, 'max_avg_step': 647, 'final_ep': 872, 'final_psnr': 27.647981643676758, 'final_psnr_avg': 29.928394317626953, 'consume_time': 227.12931418418884}"
6,"{'net_indi': 'scale_6', 'max_psnr': 29.941452026367188, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.215627670288086, 'max_step': 694, 'max_psnr_avg': 29.97220230102539, 'max_avg_step': 850, 'final_ep': 1013, 'final_psnr': 28.290136337280273, 'final_psnr_avg': 29.949630737304688, 'consume_time': 266.28311944007874}"
7,"{'net_indi': 'scale_7', 'max_psnr': 30.197444915771484, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.37639808654785, 'max_step': 542, 'max_psnr_avg': 30.252582550048828, 'max_avg_step': 655, 'final_ep': 851, 'final_psnr': 27.931440353393555, 'final_psnr_avg': 30.07880973815918, 'consume_time': 221.2016100883484}"
8,"{'net_indi': 'scale_8', 'max_psnr': 30.23104476928711, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.39975357055664, 'max_step': 538, 'max_psnr_avg': 30.226844787597656, 'max_avg_step': 713, 'final_ep': 954, 'final_psnr': 28.07952880859375, 'final_psnr_avg': 29.864492416381836, 'consume_time': 247.79037928581238}"
9,"{'net_indi': 'scale_9', 'max_psnr': 30.048349380493164, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.278121948242188, 'max_step': 650, 'max_psnr_avg': 30.1976318359375, 'max_avg_step': 746, 'final_ep': 869, 'final_psnr': 28.2326717376709, 'final_psnr_avg': 30.16494369506836, 'consume_time': 227.91035628318787}"
10,"{'net_indi': 'scale_10', 'max_psnr': 30.25757598876953, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.45314598083496, 'max_step': 452, 'max_psnr_avg': 30.29046630859375, 'max_avg_step': 596, 'final_ep': 748, 'final_psnr': 27.95803451538086, 'final_psnr_avg': 30.184982299804688, 'consume_time': 194.09093856811523}"
11,"{'net_indi': 'scale_11', 'max_psnr': 30.22163200378418, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.411304473876953, 'max_step': 741, 'max_psnr_avg': 30.375444412231445, 'max_avg_step': 797, 'final_ep': 998, 'final_psnr': 28.156137466430664, 'final_psnr_avg': 29.97366714477539, 'consume_time': 263.2076416015625}"
12,"{'net_indi': 'scale_12', 'max_psnr': 30.259244918823242, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.385618209838867, 'max_step': 1027, 'max_psnr_avg': 30.32907485961914, 'max_avg_step': 1131, 'final_ep': 1391, 'final_psnr': 28.22967529296875, 'final_psnr_avg': 29.937135696411133, 'consume_time': 365.9583520889282}"
