,0
0,"{'net_indi': 'scale_0', 'max_psnr': 29.894485473632812, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.07366180419922, 'max_step': 1359, 'max_psnr_avg': 30.058429718017578, 'max_avg_step': 1404, 'final_ep': 1644, 'final_psnr': 28.518672943115234, 'final_psnr_avg': 29.68234634399414, 'consume_time': 426.4957928657532}"
1,"{'net_indi': 'scale_1', 'max_psnr': 30.296689987182617, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.468929290771484, 'max_step': 903, 'max_psnr_avg': 30.442935943603516, 'max_avg_step': 988, 'final_ep': 1272, 'final_psnr': 28.30640983581543, 'final_psnr_avg': 29.885272979736328, 'consume_time': 331.2620782852173}"
2,"{'net_indi': 'scale_2', 'max_psnr': 30.00037384033203, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.239038467407227, 'max_step': 954, 'max_psnr_avg': 30.225069046020508, 'max_avg_step': 994, 'final_ep': 1243, 'final_psnr': 28.466604232788086, 'final_psnr_avg': 29.80051040649414, 'consume_time': 323.61930537223816}"
3,"{'net_indi': 'scale_3', 'max_psnr': 30.161056518554688, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.329742431640625, 'max_step': 823, 'max_psnr_avg': 30.307035446166992, 'max_avg_step': 878, 'final_ep': 1127, 'final_psnr': 28.487346649169922, 'final_psnr_avg': 29.8682861328125, 'consume_time': 293.83281898498535}"
4,"{'net_indi': 'scale_4', 'max_psnr': 30.17913055419922, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.35028076171875, 'max_step': 856, 'max_psnr_avg': 30.22552490234375, 'max_avg_step': 1012, 'final_ep': 1246, 'final_psnr': 28.419757843017578, 'final_psnr_avg': 30.19915008544922, 'consume_time': 323.53839015960693}"
5,"{'net_indi': 'scale_5', 'max_psnr': 30.153913497924805, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.454694747924805, 'max_step': 512, 'max_psnr_avg': 30.34375, 'max_avg_step': 628, 'final_ep': 876, 'final_psnr': 28.47064208984375, 'final_psnr_avg': 30.079200744628906, 'consume_time': 230.41771340370178}"
6,"{'net_indi': 'scale_6', 'max_psnr': 30.02906608581543, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.248289108276367, 'max_step': 571, 'max_psnr_avg': 30.0731201171875, 'max_avg_step': 763, 'final_ep': 959, 'final_psnr': 28.196866989135742, 'final_psnr_avg': 29.988033294677734, 'consume_time': 251.75286078453064}"
7,"{'net_indi': 'scale_7', 'max_psnr': 30.048837661743164, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.302602767944336, 'max_step': 640, 'max_psnr_avg': 30.139734268188477, 'max_avg_step': 800, 'final_ep': 950, 'final_psnr': 28.384334564208984, 'final_psnr_avg': 30.080604553222656, 'consume_time': 246.43454813957214}"
8,"{'net_indi': 'scale_8', 'max_psnr': 30.101240158081055, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.34353256225586, 'max_step': 779, 'max_psnr_avg': 30.302534103393555, 'max_avg_step': 845, 'final_ep': 1075, 'final_psnr': 28.15016746520996, 'final_psnr_avg': 29.90997314453125, 'consume_time': 279.6209888458252}"
9,"{'net_indi': 'scale_9', 'max_psnr': 30.052268981933594, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.3310604095459, 'max_step': 617, 'max_psnr_avg': 30.048791885375977, 'max_avg_step': 820, 'final_ep': 1009, 'final_psnr': 28.17814064025879, 'final_psnr_avg': 30.040931701660156, 'consume_time': 262.36239290237427}"
10,"{'net_indi': 'scale_10', 'max_psnr': 30.21195411682129, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.38983917236328, 'max_step': 447, 'max_psnr_avg': 30.112764358520508, 'max_avg_step': 601, 'final_ep': 823, 'final_psnr': 27.63970375061035, 'final_psnr_avg': 30.048959732055664, 'consume_time': 213.18737721443176}"
11,"{'net_indi': 'scale_11', 'max_psnr': 30.11989974975586, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.260971069335938, 'max_step': 1037, 'max_psnr_avg': 30.182008743286133, 'max_avg_step': 1215, 'final_ep': 1353, 'final_psnr': 28.51484489440918, 'final_psnr_avg': 30.07391929626465, 'consume_time': 356.46162819862366}"
12,"{'net_indi': 'scale_12', 'max_psnr': 30.11711883544922, 'max_ssim': 0, 'NUM_Backtracking': 0, 'max_avg_psnr': 30.320209503173828, 'max_step': 759, 'max_psnr_avg': 30.239870071411133, 'max_avg_step': 850, 'final_ep': 1096, 'final_psnr': 28.124675750732422, 'final_psnr_avg': 29.973766326904297, 'consume_time': 287.9919259548187}"
